specialty,hospital,age_group,waiting_over_12m,total_waiting,pct_over_12m
Respiratory Medicine,St. Vincent's University Hospital,Adult,1290,3373,38.2
Respiratory Medicine,Tallaght University Hospital,Adult,0,519,0.0
Respiratory Medicine,Tipperary University Hospital,Adult,54,452,11.9
Respiratory Medicine,University Hospital Kerry,Adult,17,572,3.0
Respiratory Medicine,University Hospital Limerick,Adult,257,2335,11.0
Respiratory Medicine,University Hospital Waterford,Adult,232,1364,17.0
Rheumatology,Beaumont Hospital,Adult,0,835,0.0
Rheumatology,Children's Health Ireland,Child,221,684,32.3
Rheumatology,Connolly Hospital Blanchardstown,Adult,0,267,0.0
Rheumatology,Cork University Hospital,Adult,0,975,0.0
Rheumatology,Croom Orthopaedic Hospital,Adult,0,58,0.0
Rheumatology,Ennis Hospital,Adult,10,90,11.1
Rheumatology,Galway University Hospitals,Adult,994,2675,37.2
Rheumatology,Mater Misericordiae University Hospital,Adult,0,598,0.0
Rheumatology,Midland Regional Hospital Tullamore,Adult,0,1360,0.0
Rheumatology,Naas General Hospital,Adult,116,627,18.5
Rheumatology,National Orthopaedic Hospital Cappagh,Adult,0,66,0.0
Rheumatology,Nenagh Hospital,Adult,0,106,0.0
Rheumatology,Our Lady's Hospital Navan,Adult,0,681,0.0
Rheumatology,Sligo University Hospital,Adult,324,1696,19.1
Rheumatology,South Infirmary Victoria University Hospital,Adult,46,489,9.4
Rheumatology,St. James's Hospital,Adult,93,479,19.4
Rheumatology,St. Vincent's University Hospital,Adult,585,1808,32.4
Rheumatology,Tallaght University Hospital,Adult,55,826,6.7
Rheumatology,Tipperary University Hospital,Adult,182,182,100.0
Rheumatology,University Hospital Kerry,Adult,0,144,0.0
Rheumatology,University Hospital Limerick,Adult,1,859,0.1
Rheumatology,University Hospital Waterford,Adult,666,2033,32.8
Small Volume Specialties,Bantry General Hospital,Adult,0,14,0.0
Small Volume Specialties,Beaumont Hospital,Adult,0,2,0.0
Small Volume Specialties,Beaumont Hospital,Child,3,38,7.9
Small Volume Specialties,Cavan General Hospital,Adult,1,34,2.9
Small Volume Specialties,Cavan General Hospital,Child,0,40,0.0
Small Volume Specialties,Children's Health Ireland,Child,0,3,0.0
Small Volume Specialties,Coombe Women and Infants University Hospital,Child,0,1,0.0
Small Volume Specialties,Cork University Hospital,Adult,1,48,2.1
Small Volume Specialties,Cork University Hospital,Child,1,57,1.8
